date,ticker,close
2013-04-01,AAPL,428.91
2013-04-01,MSFT,28.61
2013-04-02,AAPL,429.79199
2013-04-02,MSFT,28.8
2013-04-03,AAPL,431.98999
2013-04-03,MSFT,28.56
2013-04-04,AAPL,427.72
2013-04-04,MSFT,28.595
2013-04-05,AAPL,423.20001
2013-04-05,MSFT,28.7
2013-04-08,AAPL,426.20999
2013-04-08,MSFT,28.59
2013-04-09,AAPL,426.98001
2013-04-09,MSFT,29.61
2013-04-10,AAPL,435.69
2013-04-10,MSFT,30.28
2013-04-11,AAPL,434.32999
2013-04-11,MSFT,28.935
2013-04-12,AAPL,429.79999
2013-04-12,MSFT,28.79
2013-04-15,AAPL,419.85001
2013-04-15,MSFT,28.69
2013-04-16,AAPL,426.23999
2013-04-16,MSFT,28.97
2013-04-17,AAPL,402.79999
2013-04-17,MSFT,28.825
2013-04-18,AAPL,392.04999
2013-04-18,MSFT,28.79
2013-04-19,AAPL,390.53
2013-04-19,MSFT,29.765
2013-04-22,AAPL,398.67001
2013-04-22,MSFT,30.83
2013-04-23,AAPL,406.13
2013-04-23,MSFT,30.6
2013-04-24,AAPL,405.46201
2013-04-24,MSFT,31.76
2013-04-25,AAPL,408.38
2013-04-25,MSFT,31.94
2013-04-26,AAPL,417.20499
2013-04-26,MSFT,31.79
2013-04-29,AAPL,430.12
2013-04-29,MSFT,32.61
2013-04-30,AAPL,442.78
2013-04-30,MSFT,33.1
2013-05-01,AAPL,439.29001
2013-05-01,MSFT,32.72
2013-05-02,AAPL,445.51999
2013-05-02,MSFT,33.16
2013-05-03,AAPL,449.98001
2013-05-03,MSFT,33.49
2013-05-06,AAPL,460.70999
2013-05-06,MSFT,33.75
2013-05-07,AAPL,458.65799
2013-05-07,MSFT,33.31
2013-05-08,AAPL,463.84
2013-05-08,MSFT,32.99
2013-05-09,AAPL,456.76999
2013-05-09,MSFT,32.66
2013-05-10,AAPL,452.97
2013-05-10,MSFT,32.69
2013-05-13,AAPL,454.73999
2013-05-13,MSFT,33.03
